"URL","Date","Value"
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:家計消費支出(勤労者世帯)(前年同月比):(%)"" target=""_blank"">景気動向指数個別系列:家計消費支出(勤労者世帯)(前年同月比):(%)</a>","2017年06月",6.6
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:法人税収入:(億円)"" target=""_blank"">景気動向指数個別系列:法人税収入:(億円)</a>","2017年06月",10738
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:完全失業率(逆サイクル):(%)"" target=""_blank"">景気動向指数個別系列:完全失業率(逆サイクル):(%)</a>","2017年06月",2.81
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:きまって支給する給与(製造業、名目):(平成27年=100)"" target=""_blank"">景気動向指数個別系列:きまって支給する給与(製造業、名目):(平成27年=100)</a>","2017年06月",100.9
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:消費者物価指数(生鮮食品を除く総合)(前年同月比):(%)"" target=""_blank"">景気動向指数個別系列:消費者物価指数(生鮮食品を除く総合)(前年同月比):(%)</a>","2017年06月",0.4
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:最終需要財在庫指数:(平成22年=100)"" target=""_blank"">景気動向指数個別系列:最終需要財在庫指数:(平成22年=100)</a>","2017年06月",109.9
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):職業計"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):職業計</a>","2017年07月",1.25
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):管理的職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):管理的職業</a>","2017年07月",2
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業</a>","2017年07月",2.02
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:開発技術者"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:開発技術者</a>","2017年07月",2.29
