"Date","労働力人口(万人)-男女計:原数値","労働力人口(万人)-男:原数値","労働力人口(万人)-女:原数値","就業者(万人)-男女計:原数値","就業者(万人)-男:原数値","就業者(万人)-女:原数値","雇用者(万人)-男女計:原数値","雇用者(万人)-男:原数値","雇用者(万人)-女:原数値","完全失業者(万人)-男女計:原数値","完全失業者(万人)-男:原数値","完全失業者(万人)-女:原数値","非労働力人口(万人)-男女計:原数値","非労働力人口(万人)-男:原数値","非労働力人口(万人)-女:原数値","完全失業率（％）-男女計:原数値","完全失業率（％）-男:原数値","完全失業率（％）-女:原数値"
1991-03-01,6418,3835,2583,6263,3744,2520,4925,3051,1874,154,91,63,3706,1092,2614,2.4,2.4,2.4
1991-04-01,6519,3855,2664,6375,3773,2601,4968,3053,1914,145,82,63,3615,1076,2539,2.2,2.1,2.4
1991-05-01,6583,3876,2706,6447,3802,2645,5017,3079,1938,136,74,62,3562,1062,2500,2.1,1.9,2.3
1991-06-01,6610,3886,2723,6478,3816,2662,5062,3109,1953,132,71,61,3544,1056,2489,2,1.8,2.2
1991-07-01,6576,3880,2696,6443,3805,2638,5046,3110,1936,133,75,57,3583,1066,2518,2,1.9,2.1
1991-08-01,6564,3874,2690,6425,3794,2631,5014,3089,1926,139,80,59,3612,1079,2532,2.1,2.1,2.2
1991-09-01,6578,3887,2691,6437,3811,2627,5016,3093,1924,141,76,64,3611,1074,2537,2.1,2,2.4
1991-10-01,6554,3879,2676,6422,3809,2613,5047,3116,1931,132,70,62,3640,1084,2556,2,1.8,2.3
1991-11-01,6543,3874,2669,6412,3802,2611,5078,3129,1949,131,72,58,3652,1088,2564,2,1.9,2.2
1991-12-01,6504,3860,2644,6377,3784,2593,5079,3121,1958,127,76,51,3679,1097,2582,2,2,1.9
1992-01-01,6405,3836,2569,6264,3754,2510,5010,3103,1906,141,82,59,3800,1127,2674,2.2,2.1,2.3
1992-02-01,6448,3853,2595,6311,3772,2538,5041,3120,1921,137,80,57,3772,1116,2656,2.1,2.1,2.2
1992-03-01,6502,3873,2629,6350,3791,2560,5053,3120,1933,151,82,69,3729,1103,2626,2.3,2.1,2.6
1992-04-01,6583,3897,2685,6441,3819,2622,5077,3117,1960,141,79,63,3639,1074,2566,2.1,2,2.3
1992-05-01,6653,3917,2736,6511,3833,2678,5134,3129,2005,142,83,59,3589,1065,2524,2.1,2.1,2.2
1992-06-01,6653,3906,2746,6520,3827,2692,5139,3137,2002,133,79,54,3604,1082,2522,2,2,2
1992-07-01,6614,3920,2694,6480,3841,2639,5158,3174,1984,134,79,56,3646,1072,2575,2,2,2.1
1992-08-01,6618,3918,2700,6474,3834,2640,5138,3163,1975,144,84,60,3657,1080,2577,2.2,2.1,2.2
1992-09-01,6625,3912,2713,6478,3828,2650,5117,3137,1981,147,84,64,3663,1092,2572,2.2,2.1,2.4
1992-10-01,6642,3926,2716,6496,3840,2656,5168,3167,2001,145,86,59,3654,1080,2574,2.2,2.2,2.2
1992-11-01,6632,3928,2705,6487,3844,2642,5212,3194,2017,146,83,62,3671,1084,2587,2.2,2.1,2.3
1992-12-01,6566,3906,2660,6422,3823,2599,5181,3180,2001,144,83,61,3726,1102,2623,2.2,2.1,2.3
1993-01-01,6449,3862,2587,6296,3777,2519,5099,3150,1949,152,85,68,3864,1153,2711,2.4,2.2,2.6
1993-02-01,6443,3879,2565,6286,3789,2497,5126,3179,1947,157,89,68,3875,1140,2735,2.4,2.3,2.7
1993-03-01,6522,3905,2617,6355,3811,2543,5142,3176,1966,168,94,74,3806,1120,2686,2.6,2.4,2.8
1993-04-01,6630,3932,2697,6472,3843,2629,5187,3174,2013,157,89,68,3701,1091,2609,2.4,2.3,2.5
1993-05-01,6696,3960,2735,6527,3862,2665,5213,3187,2026,169,98,71,3650,1071,2579,2.5,2.5,2.6
1993-06-01,6696,3954,2742,6537,3867,2671,5233,3202,2031,159,88,71,3654,1078,2576,2.4,2.2,2.6
1993-07-01,6679,3962,2716,6520,3872,2648,5259,3227,2032,159,91,68,3676,1074,2601,2.4,2.3,2.5
1993-08-01,6661,3952,2709,6494,3855,2640,5228,3204,2025,167,98,69,3709,1091,2618,2.5,2.5,2.5
1993-09-01,6665,3951,2714,6493,3853,2640,5215,3196,2019,172,98,74,3716,1097,2619,2.6,2.5,2.7
1993-10-01,6677,3963,2714,6501,3861,2640,5234,3206,2029,176,102,74,3706,1084,2622,2.6,2.6,2.7
1993-11-01,6659,3958,2701,6483,3855,2628,5244,3207,2037,176,103,73,3736,1095,2641,2.6,2.6,2.7
1993-12-01,6607,3938,2669,6432,3836,2596,5241,3207,2034,175,102,73,3786,1117,2669,2.6,2.6,2.7
1994-01-01,6509,3895,2614,6326,3791,2535,5163,3175,1989,184,105,79,3898,1165,2733,2.8,2.7,3
1994-02-01,6497,3899,2598,6302,3788,2514,5152,3179,1973,194,110,84,3908,1161,2747,3,2.8,3.2
1994-03-01,6573,3922,2650,6365,3803,2562,5189,3175,2013,208,120,88,3841,1141,2700,3.2,3.1,3.3
1994-04-01,6690,3951,2739,6496,3838,2658,5262,3196,2066,194,113,81,3721,1110,2611,2.9,2.9,3
1994-05-01,6748,3981,2767,6557,3874,2683,5288,3217,2071,191,107,85,3679,1089,2591,2.8,2.7,3.1
1994-06-01,6735,3974,2761,6552,3864,2688,5279,3206,2073,183,110,73,3698,1098,2600,2.7,2.8,2.6
1994-07-01,6704,3976,2728,6516,3864,2653,5257,3215,2043,188,112,76,3729,1098,2631,2.8,2.8,2.8
1994-08-01,6690,3981,2709,6490,3865,2625,5249,3224,2025,200,117,84,3755,1096,2658,3,2.9,3.1
1994-09-01,6685,3977,2708,6484,3857,2627,5243,3213,2029,201,119,81,3774,1107,2666,3,3,3
1994-10-01,6679,3965,2714,6480,3846,2635,5235,3191,2044,199,119,80,3784,1121,2663,3,3,2.9
1994-11-01,6642,3952,2690,6458,3844,2614,5254,3206,2049,185,108,77,3826,1136,2690,2.8,2.7,2.9
1994-12-01,6587,3943,2645,6410,3835,2576,5259,3221,2038,177,108,69,3877,1146,2731,2.7,2.7,2.6
1995-01-01,6519,3901,2618,6324,3785,2538,5196,3184,2012,196,116,80,3963,1194,2769,3,3,3.1
1995-02-01,6514,3896,2618,6315,3779,2536,5178,3187,1992,199,117,82,3963,1196,2766,3.1,3,3.1
1995-03-01,6600,3937,2663,6381,3810,2571,5217,3197,2020,219,128,92,3884,1161,2723,3.3,3.3,3.5
1995-04-01,6690,3958,2732,6475,3834,2641,5234,3186,2048,214,124,90,3790,1135,2655,3.2,3.1,3.3
1995-05-01,6734,3974,2759,6526,3856,2670,5281,3208,2073,208,119,89,3764,1126,2638,3.1,3,3.2
1995-06-01,6760,3992,2769,6559,3877,2682,5309,3232,2076,202,115,87,3744,1113,2631,3,2.9,3.1
1995-07-01,6744,4004,2740,6542,3884,2658,5292,3241,2051,202,120,82,3752,1099,2653,3,3,3
1995-08-01,6710,3994,2716,6494,3869,2625,5261,3226,2035,216,125,91,3794,1111,2683,3.2,3.1,3.4
1995-09-01,6749,4005,2743,6529,3882,2648,5294,3231,2063,219,124,95,3769,1106,2662,3.2,3.1,3.5
1995-10-01,6710,3997,2712,6496,3871,2624,5296,3229,2067,214,126,88,3817,1119,2698,3.2,3.2,3.2
1995-11-01,6657,3975,2682,6439,3843,2596,5289,3224,2066,218,132,86,3879,1144,2734,3.3,3.3,3.2
1995-12-01,6610,3956,2654,6399,3826,2573,5307,3237,2070,211,130,81,3917,1161,2757,3.2,3.3,3.1
1996-01-01,6551,3930,2621,6322,3795,2526,5263,3222,2041,230,135,95,3992,1194,2798,3.5,3.4,3.6
1996-02-01,6522,3919,2604,6298,3785,2513,5245,3219,2026,224,133,91,4011,1199,2811,3.4,3.4,3.5
1996-03-01,6627,3949,2677,6398,3812,2585,5280,3212,2067,229,137,92,3913,1170,2742,3.5,3.5,3.4
1996-04-01,6731,3990,2742,6496,3856,2640,5302,3220,2081,235,133,102,3809,1131,2678,3.5,3.3,3.7
1996-05-01,6770,4007,2763,6530,3863,2667,5326,3233,2093,240,144,96,3787,1123,2664,3.5,3.6,3.5
1996-06-01,6816,4023,2793,6590,3886,2703,5367,3251,2116,226,137,90,3749,1110,2640,3.3,3.4,3.2
1996-07-01,6810,4028,2782,6589,3899,2690,5355,3261,2094,221,129,92,3749,1103,2646,3.2,3.2,3.3
1996-08-01,6766,4027,2740,6542,3891,2651,5330,3247,2082,224,135,88,3802,1108,2694,3.3,3.4,3.2
1996-09-01,6792,4023,2770,6569,3891,2678,5346,3240,2106,224,132,92,3789,1117,2672,3.3,3.3,3.3
1996-10-01,6772,4016,2756,6545,3882,2663,5329,3232,2096,227,135,93,3816,1127,2689,3.4,3.4,3.4
1996-11-01,6709,3997,2711,6497,3871,2626,5349,3248,2101,212,126,85,3884,1146,2738,3.2,3.2,3.1
1996-12-01,6663,3996,2667,6455,3869,2586,5375,3275,2099,208,127,81,3918,1146,2773,3.1,3.2,3
1997-01-01,6642,3983,2659,6420,3850,2569,5370,3272,2098,222,132,90,3984,1179,2805,3.3,3.3,3.4
1997-02-01,6647,3972,2675,6418,3837,2581,5359,3256,2103,230,135,94,3973,1188,2784,3.5,3.4,3.5
1997-03-01,6723,4013,2710,6489,3876,2613,5359,3260,2099,234,137,97,3907,1153,2754,3.5,3.4,3.6
1997-04-01,6805,4035,2770,6574,3903,2671,5383,3265,2118,231,131,100,3826,1129,2697,3.4,3.2,3.6
1997-05-01,6876,4066,2810,6632,3930,2702,5399,3278,2121,244,136,108,3769,1105,2664,3.5,3.3,3.8
1997-06-01,6908,4072,2836,6679,3940,2739,5435,3281,2154,229,132,97,3746,1104,2642,3.3,3.2,3.4
1997-07-01,6873,4058,2815,6649,3925,2724,5426,3270,2155,224,133,91,3773,1116,2657,3.3,3.3,3.2
1997-08-01,6821,4038,2783,6590,3901,2689,5377,3248,2129,231,137,94,3829,1135,2694,3.4,3.4,3.4
1997-09-01,6832,4033,2800,6596,3890,2706,5382,3238,2144,236,142,94,3837,1150,2687,3.5,3.5,3.4
1997-10-01,6833,4034,2799,6597,3895,2702,5390,3248,2142,236,139,97,3844,1152,2692,3.5,3.4,3.5
1997-11-01,6757,4015,2742,6529,3879,2650,5395,3263,2131,228,136,92,3924,1172,2752,3.4,3.4,3.4
1997-12-01,6726,4008,2718,6508,3875,2634,5420,3285,2135,218,134,84,3944,1176,2767,3.2,3.3,3.1
1998-01-01,6693,3982,2711,6455,3835,2620,5385,3248,2137,238,148,90,3992,1207,2785,3.6,3.7,3.3
1998-02-01,6657,3970,2687,6411,3819,2592,5355,3238,2117,246,151,95,4035,1222,2813,3.7,3.8,3.5
1998-03-01,6745,4011,2733,6468,3844,2624,5353,3249,2103,277,167,110,3958,1189,2769,4.1,4.2,4
1998-04-01,6822,4030,2792,6532,3858,2674,5351,3232,2118,290,172,118,3879,1165,2714,4.3,4.3,4.2
1998-05-01,6891,4060,2831,6597,3883,2714,5372,3239,2132,293,176,117,3818,1139,2679,4.3,4.3,4.1
1998-06-01,6892,4066,2826,6608,3897,2711,5391,3251,2140,284,169,115,3823,1134,2689,4.1,4.2,4.1
1998-07-01,6847,4048,2800,6577,3888,2689,5371,3249,2123,270,160,111,3871,1157,2714,3.9,4,4
1998-08-01,6842,4040,2802,6546,3863,2683,5359,3229,2129,297,178,119,3885,1168,2717,4.3,4.4,4.2
1998-09-01,6821,4031,2789,6526,3854,2672,5347,3223,2124,295,178,117,3915,1179,2736,4.3,4.4,4.2
1998-10-01,6816,4032,2784,6526,3862,2664,5380,3250,2130,290,171,120,3924,1179,2745,4.3,4.2,4.3
1998-11-01,6772,4025,2748,6481,3849,2633,5376,3248,2127,291,176,115,3976,1192,2784,4.3,4.4,4.2
1998-12-01,6717,4015,2701,6443,3843,2601,5374,3262,2112,273,173,101,4019,1196,2822,4.1,4.3,3.7
1999-01-01,6677,4003,2674,6380,3819,2561,5345,3253,2092,298,184,113,4075,1215,2860,4.5,4.6,4.2
1999-02-01,6648,3980,2667,6334,3791,2543,5283,3212,2072,313,189,124,4103,1236,2868,4.7,4.7,4.6
1999-03-01,6724,3997,2727,6384,3794,2590,5291,3194,2097,339,203,137,4028,1217,2811,5,5.1,5
1999-04-01,6811,4017,2794,6469,3811,2658,5312,3183,2129,342,206,136,3939,1197,2742,5,5.1,4.9
1999-05-01,6866,4050,2816,6532,3843,2689,5342,3200,2142,334,207,127,3893,1169,2724,4.9,5.1,4.5
1999-06-01,6848,4051,2797,6519,3845,2674,5321,3204,2117,329,206,123,3912,1168,2744,4.8,5.1,4.4
1999-07-01,6815,4033,2783,6497,3838,2659,5308,3203,2104,319,195,124,3948,1189,2759,4.7,4.8,4.5
1999-08-01,6831,4036,2796,6511,3844,2667,5345,3216,2129,320,192,128,3945,1192,2753,4.7,4.8,4.6
1999-09-01,6831,4042,2789,6514,3856,2658,5355,3226,2129,317,186,131,3952,1188,2764,4.6,4.6,4.7
1999-10-01,6811,4042,2769,6500,3857,2643,5373,3235,2138,311,185,125,3979,1190,2789,4.6,4.6,4.5
1999-11-01,6776,4026,2750,6481,3842,2639,5357,3222,2135,295,184,111,4019,1209,2810,4.4,4.6,4
1999-12-01,6715,4014,2701,6427,3828,2599,5337,3230,2106,288,185,102,4077,1222,2855,4.3,4.6,3.8
2000-01-01,6664,3982,2682,6355,3790,2565,5305,3208,2096,309,192,117,4137,1256,2881,4.6,4.8,4.4
2000-02-01,6638,3970,2668,6311,3766,2545,5277,3190,2087,327,204,123,4168,1270,2898,4.9,5.1,4.6
2000-03-01,6694,3996,2698,6345,3779,2566,5270,3188,2082,349,217,132,4113,1245,2868,5.2,5.4,4.9
2000-04-01,6786,4007,2779,6440,3801,2639,5289,3167,2122,346,206,139,4021,1232,2789,5.1,5.1,5
2000-05-01,6831,4031,2800,6503,3835,2667,5374,3214,2160,328,196,133,3984,1212,2772,4.8,4.9,4.8
2000-06-01,6824,4023,2801,6503,3829,2674,5379,3221,2159,321,194,127,3996,1220,2776,4.7,4.8,4.5
2000-07-01,6796,4012,2784,6489,3822,2668,5361,3214,2147,307,190,117,4020,1231,2789,4.5,4.7,4.2
2000-08-01,6791,4020,2770,6480,3832,2649,5356,3221,2136,310,189,121,4032,1224,2808,4.6,4.7,4.4
2000-09-01,6800,4030,2770,6480,3836,2644,5397,3240,2157,320,193,126,4034,1221,2813,4.7,4.8,4.5
2000-10-01,6822,4042,2780,6508,3848,2660,5425,3243,2183,314,193,120,4020,1212,2808,4.6,4.8,4.3
2000-11-01,6811,4039,2773,6502,3846,2656,5429,3243,2187,309,193,117,4040,1219,2821,4.5,4.8,4.2
2000-12-01,6738,4012,2725,6440,3823,2617,5409,3245,2164,298,189,108,4117,1248,2869,4.4,4.7,4
2001-01-01,6677,3963,2715,6360,3770,2590,5355,3201,2154,317,193,124,4179,1297,2882,4.7,4.9,4.6
2001-02-01,6670,3954,2716,6352,3761,2591,5349,3203,2146,318,193,125,4171,1300,2871,4.8,4.9,4.6
2001-03-01,6722,3991,2731,6379,3782,2596,5338,3211,2126,343,209,135,4138,1272,2866,5.1,5.2,4.9
2001-04-01,6776,4008,2767,6427,3795,2633,5359,3201,2157,348,213,135,4084,1253,2831,5.1,5.3,4.9
2001-05-01,6821,4019,2802,6473,3807,2666,5413,3215,2197,348,211,136,4052,1247,2804,5.1,5.3,4.9
2001-06-01,6804,4003,2802,6466,3795,2671,5413,3217,2196,338,208,131,4069,1264,2806,5,5.2,4.7
2001-07-01,6783,4001,2782,6452,3798,2655,5390,3212,2178,330,203,127,4092,1267,2825,4.9,5.1,4.6
2001-08-01,6780,4014,2766,6443,3811,2632,5372,3213,2159,336,203,134,4100,1256,2844,5,5.1,4.8
2001-09-01,6753,3992,2762,6396,3779,2617,5344,3189,2156,357,212,145,4136,1282,2854,5.3,5.3,5.2
2001-10-01,6757,3988,2769,6405,3768,2637,5361,3180,2181,352,220,132,4144,1290,2853,5.2,5.5,4.8
2001-11-01,6780,3995,2785,6430,3774,2657,5372,3180,2192,350,221,129,4132,1287,2845,5.2,5.5,4.6
2001-12-01,6699,3972,2727,6362,3755,2607,5361,3193,2168,337,217,120,4206,1309,2897,5,5.5,4.4
2002-01-01,6611,3932,2679,6267,3721,2545,5303,3175,2128,344,210,134,4299,1358,2941,5.2,5.3,5
2002-02-01,6604,3921,2683,6248,3709,2539,5272,3152,2120,356,213,143,4297,1361,2936,5.4,5.4,5.3
2002-03-01,6676,3961,2715,6297,3734,2564,5292,3162,2130,379,228,152,4230,1323,2907,5.7,5.8,5.6
2002-04-01,6708,3967,2741,6333,3739,2594,5318,3164,2154,375,227,147,4190,1311,2879,5.6,5.7,5.4
2002-05-01,6731,3968,2764,6356,3743,2613,5320,3157,2163,375,225,151,4182,1318,2864,5.6,5.7,5.5
2002-06-01,6741,3971,2770,6373,3748,2625,5348,3172,2176,368,222,145,4180,1319,2861,5.5,5.6,5.2
2002-07-01,6725,3973,2753,6374,3760,2614,5379,3200,2179,352,213,138,4192,1316,2875,5.2,5.4,5
2002-08-01,6732,3984,2748,6371,3763,2608,5363,3196,2167,361,221,140,4187,1307,2881,5.4,5.5,5.1
2002-09-01,6717,3966,2752,6353,3741,2612,5342,3164,2178,365,225,140,4217,1332,2885,5.4,5.7,5.1
2002-10-01,6717,3966,2751,6355,3741,2614,5336,3157,2179,362,225,137,4224,1333,2891,5.4,5.7,5
2002-11-01,6684,3938,2747,6346,3724,2622,5350,3155,2195,338,214,124,4249,1356,2893,5.1,5.4,4.5
2002-12-01,6622,3923,2699,6291,3715,2576,5348,3181,2167,331,208,123,4300,1367,2934,5,5.3,4.6
2003-01-01,6560,3895,2665,6203,3682,2521,5289,3155,2134,357,213,144,4370,1397,2974,5.4,5.5,5.4
2003-02-01,6542,3888,2654,6193,3674,2518,5262,3136,2126,349,214,135,4383,1403,2980,5.3,5.5,5.1
2003-03-01,6649,3934,2715,6266,3694,2572,5296,3139,2157,384,240,143,4292,1367,2924,5.8,6.1,5.3
2003-04-01,6691,3947,2744,6306,3714,2592,5312,3151,2161,385,233,151,4245,1348,2896,5.8,5.9,5.5
2003-05-01,6735,3969,2767,6360,3742,2619,5351,3171,2180,375,227,148,4214,1332,2882,5.6,5.7,5.3
2003-06-01,6771,3974,2798,6411,3747,2664,5373,3161,2212,361,227,134,4190,1334,2856,5.3,5.7,4.8
2003-07-01,6722,3949,2774,6381,3739,2642,5382,3177,2205,342,210,132,4233,1357,2877,5.1,5.3,4.8
2003-08-01,6693,3943,2751,6361,3742,2619,5347,3163,2184,333,201,132,4264,1362,2903,5,5.1,4.8
2003-09-01,6692,3940,2752,6346,3726,2619,5328,3148,2179,346,213,133,4274,1369,2905,5.2,5.4,4.8
2003-10-01,6680,3931,2749,6337,3721,2617,5332,3143,2190,343,211,132,4289,1378,2911,5.1,5.4,4.8
2003-11-01,6654,3929,2725,6323,3723,2600,5361,3168,2193,330,206,125,4318,1382,2936,5,5.2,4.6
2003-12-01,6607,3909,2698,6307,3720,2587,5385,3184,2201,300,189,111,4346,1394,2952,4.5,4.8,4.1
2004-01-01,6545,3875,2669,6221,3677,2544,5310,3148,2162,323,198,125,4423,1434,2990,4.9,5.1,4.7
2004-02-01,6539,3866,2673,6209,3660,2548,5286,3129,2157,330,206,124,4421,1437,2984,5,5.3,4.6
2004-03-01,6612,3889,2723,6279,3684,2594,5311,3125,2186,333,205,129,4366,1422,2944,5,5.3,4.7
2004-04-01,6688,3929,2759,6354,3729,2625,5369,3162,2207,335,201,134,4301,1387,2914,5,5.1,4.9
2004-05-01,6708,3938,2770,6389,3748,2640,5406,3187,2219,319,190,130,4277,1375,2902,4.8,4.8,4.7
2004-06-01,6683,3919,2764,6374,3726,2648,5371,3149,2222,309,193,116,4285,1386,2899,4.6,4.9,4.2
2004-07-01,6691,3919,2772,6373,3719,2654,5381,3151,2230,318,200,118,4278,1388,2890,4.8,5.1,4.3
2004-08-01,6710,3929,2780,6395,3743,2653,5383,3161,2222,314,186,128,4265,1382,2883,4.7,4.7,4.6
2004-09-01,6679,3908,2770,6369,3719,2650,5353,3136,2216,309,189,120,4303,1407,2896,4.6,4.8,4.3
2004-10-01,6663,3899,2764,6352,3710,2642,5362,3141,2221,311,189,122,4323,1413,2910,4.7,4.8,4.4
2004-11-01,6611,3899,2713,6322,3717,2605,5364,3164,2200,290,182,108,4379,1417,2962,4.4,4.7,4
2004-12-01,6576,3890,2686,6306,3720,2586,5362,3170,2193,270,170,100,4405,1424,2981,4.1,4.4,3.7
2005-01-01,6557,3869,2688,6261,3686,2575,5310,3131,2179,296,182,113,4431,1445,2986,4.5,4.7,4.2
2005-02-01,6532,3853,2679,6224,3660,2565,5284,3112,2172,308,193,114,4456,1459,2996,4.7,5,4.3
2005-03-01,6573,3872,2701,6260,3681,2579,5313,3132,2181,313,191,122,4415,1440,2975,4.8,4.9,4.5
2005-04-01,6662,3901,2761,6352,3717,2635,5390,3164,2227,310,184,126,4321,1409,2912,4.7,4.7,4.6
2005-05-01,6742,3929,2813,6435,3746,2688,5447,3176,2271,307,183,124,4258,1391,2867,4.6,4.7,4.4
2005-06-01,6698,3917,2781,6418,3743,2675,5416,3163,2253,280,175,105,4293,1398,2896,4.2,4.5,3.8
2005-07-01,6699,3912,2787,6410,3738,2672,5409,3161,2248,289,174,115,4292,1404,2888,4.3,4.4,4.1
2005-08-01,6689,3910,2779,6405,3743,2662,5398,3163,2235,284,167,117,4308,1406,2901,4.2,4.3,4.2
2005-09-01,6722,3933,2788,6437,3766,2671,5454,3196,2258,285,168,117,4286,1389,2897,4.2,4.3,4.2
2005-10-01,6714,3930,2783,6410,3750,2659,5458,3195,2262,304,179,124,4296,1393,2903,4.5,4.6,4.5
2005-11-01,6637,3902,2737,6345,3726,2620,5415,3183,2233,292,176,116,4372,1420,2952,4.4,4.5,4.2
2005-12-01,6582,3882,2700,6317,3717,2600,5420,3188,2232,265,164,101,4420,1439,2982,4,4.2,3.7
2006-01-01,6564,3866,2698,6272,3683,2590,5405,3170,2235,292,183,109,4441,1455,2987,4.5,4.7,4
2006-02-01,6553,3857,2695,6276,3677,2597,5413,3167,2246,277,179,98,4451,1461,2989,4.2,4.6,3.6
2006-03-01,6601,3890,2712,6312,3713,2599,5428,3187,2241,289,177,112,4422,1440,2981,4.4,4.6,4.1
2006-04-01,6657,3904,2753,6373,3734,2639,5463,3198,2266,284,169,114,4349,1416,2933,4.3,4.3,4.1
2006-05-01,6731,3929,2801,6454,3765,2689,5530,3225,2306,277,165,112,4288,1396,2892,4.1,4.2,4
2006-06-01,6723,3928,2795,6444,3762,2683,5523,3222,2301,278,166,112,4303,1401,2902,4.1,4.2,4
2006-07-01,6695,3913,2783,6428,3750,2678,5488,3196,2293,268,163,105,4327,1416,2910,4,4.2,3.8
2006-08-01,6707,3917,2791,6435,3754,2681,5486,3198,2287,272,163,110,4314,1410,2904,4.1,4.2,3.9
2006-09-01,6720,3923,2797,6440,3756,2684,5502,3210,2293,280,167,113,4311,1409,2902,4.2,4.3,4
2006-10-01,6727,3927,2800,6446,3755,2691,5510,3213,2298,281,172,109,4309,1406,2902,4.2,4.4,3.9
2006-11-01,6679,3899,2781,6420,3737,2685,5503,3197,2306,259,162,97,4363,1437,2926,3.9,4.2,3.5
2006-12-01,6609,3880,2729,6365,3727,2638,5481,3199,2282,244,153,91,4419,1450,2969,3.7,4,3.3
2007-01-01,6554,3869,2685,6290,3709,2581,5460,3209,2253,264,160,104,4487,1472,3015,4,4.1,3.9
2007-02-01,6584,3886,2698,6314,3722,2592,5479,3219,2260,270,164,106,4460,1457,3003,4.1,4.2,3.9
2007-03-01,6645,3907,2738,6364,3740,2625,5496,3224,2272,281,167,113,4404,1437,2967,4.2,4.3,4.1
2007-04-01,6726,3934,2793,6458,3774,2684,5556,3244,2312,268,160,109,4326,1411,2915,4,4.1,3.9
2007-05-01,6771,3952,2819,6513,3800,2714,5585,3251,2334,258,152,105,4285,1396,2889,3.8,3.9,3.7
2007-06-01,6748,3944,2803,6506,3796,2711,5578,3247,2331,241,149,93,4314,1404,2909,3.6,3.8,3.3
2007-07-01,6707,3929,2779,6474,3784,2690,5549,3236,2314,234,145,89,4354,1421,2933,3.5,3.7,3.2
2007-08-01,6712,3925,2787,6463,3782,2681,5553,3243,2310,249,143,106,4352,1426,2925,3.7,3.7,3.8
2007-09-01,6708,3929,2780,6439,3773,2666,5522,3237,2286,269,155,114,4359,1425,2934,4,4,4.1
2007-10-01,6713,3932,2781,6442,3771,2671,5539,3239,2299,271,160,111,4359,1423,2935,4,4.1,4
2007-11-01,6698,3909,2790,6452,3760,2693,5578,3238,2340,246,149,97,4374,1447,2927,3.7,3.8,3.5
2007-12-01,6646,3885,2762,6415,3745,2672,5548,3233,2316,231,140,91,4427,1469,2957,3.5,3.6,3.3
2008-01-01,6597,3878,2720,6341,3722,2620,5493,3207,2286,256,156,100,4479,1479,3000,3.9,4,3.7
2008-02-01,6579,3879,2701,6313,3715,2598,5473,3203,2270,266,164,102,4492,1476,3016,4.1,4.2,3.8
2008-03-01,6626,3884,2743,6358,3729,2630,5495,3213,2283,268,155,113,4448,1470,2976,4.1,4,4.1
2008-04-01,6726,3923,2804,6451,3765,2687,5556,3230,2326,275,158,117,4346,1430,2916,4.1,4,4.2
2008-05-01,6771,3954,2818,6501,3791,2712,5597,3251,2345,270,163,107,4308,1404,2905,4,4.1,3.8
2008-06-01,6740,3923,2817,6475,3763,2711,5586,3231,2355,265,160,107,4342,1436,2906,3.9,4.1,3.8
2008-07-01,6686,3898,2789,6430,3745,2686,5546,3216,2330,256,153,104,4396,1460,2938,3.8,3.9,3.7
2008-08-01,6702,3922,2782,6430,3761,2670,5561,3238,2324,272,161,113,4379,1436,2943,4.1,4.1,4
2008-09-01,6689,3908,2782,6419,3749,2669,5552,3233,2320,271,158,114,4399,1454,2945,4.1,4.1,4.1
2008-10-01,6670,3909,2761,6415,3754,2661,5566,3248,2318,255,156,101,4419,1453,2967,3.8,4,3.6
2008-11-01,6673,3895,2779,6418,3739,2679,5575,3233,2343,256,156,101,4417,1467,2950,3.9,4,3.6
2008-12-01,6629,3877,2753,6359,3711,2649,5549,3213,2336,270,166,105,4458,1483,2974,4.1,4.3,3.8
2009-01-01,6598,3859,2740,6321,3693,2628,5504,3198,2307,277,166,112,4488,1502,2987,4.2,4.3,4.1
2009-02-01,6594,3853,2742,6294,3674,2622,5482,3188,2296,299,179,121,4491,1507,2985,4.6,4.7,4.4
2009-03-01,6610,3866,2745,6275,3670,2606,5452,3170,2281,335,196,140,4478,1495,2983,5.1,5.1,5.1
2009-04-01,6699,3901,2799,6353,3693,2661,5492,3174,2318,346,208,139,4392,1461,2931,5.2,5.4,4.9
2009-05-01,6721,3908,2813,6374,3697,2677,5506,3179,2328,347,210,138,4374,1455,2918,5.2,5.4,4.9
2009-06-01,6680,3878,2803,6332,3664,2669,5484,3158,2327,348,214,135,4415,1485,2930,5.2,5.5,4.8
2009-07-01,6661,3870,2793,6303,3645,2658,5473,3147,2327,359,225,135,4438,1493,2945,5.4,5.8,4.8
2009-08-01,6691,3876,2815,6330,3658,2672,5495,3159,2337,361,218,144,4407,1486,2921,5.4,5.7,5.1
2009-09-01,6693,3871,2823,6330,3655,2675,5501,3156,2347,363,215,149,4409,1495,2915,5.5,5.6,5.3
2009-10-01,6650,3869,2782,6306,3660,2647,5496,3171,2326,344,208,137,4456,1499,2957,5.2,5.4,4.9
2009-11-01,6627,3847,2781,6296,3644,2653,5498,3165,2335,331,204,129,4480,1519,2961,5,5.3,4.6
2009-12-01,6576,3828,2749,6260,3635,2626,5488,3162,2327,317,193,125,4524,1535,2990,4.8,5.1,4.5
2010-01-01,6572,3836,2738,6250,3637,2614,5480,3165,2316,323,199,125,4526,1526,3000,4.9,5.2,4.6
