"Date","元号","新規求人倍率(倍)-季節調整値","有効求人倍率(倍)-季節調整値","就職率(対新規)(倍)-季節調整値","充足率(対新規)(倍)-季節調整値","新規求人数(人)-季節調整値","新規求職申込件数(件)-季節調整値","有効求人数(人)-季節調整値","有効求職者数(人)-季節調整値","就職件数(件)-季節調整値","新規求人倍率(-)-実数","有効求人倍率(-)-実数","就職率(対新規)(-)-実数","充足率(対新規)(-)-実数","新規求人数(人)-実数","新規求職申込件数(件)-実数","有効求人数(人)-実数","有効求職者数(人)-実数","就職件数(件)-実数"
2016-09-01,"9月",2.1,1.38,33.8,16.1,921702,439182,2555180,1847883,148618,2.19,1.4,34.6,15.8,944437,431972,2563266,1830173,149439
2016-10-01,"10月",2.11,1.4,33.9,16,925635,437770,2571859,1839234,148375,2.25,1.43,34.9,15.5,956134,424028,2612758,1823987,148147
2016-11-01,"11月",2.15,1.41,34.1,15.9,927787,432322,2577394,1829089,147501,2.34,1.48,36.6,15.7,893015,381761,2610248,1767081,139785
2016-12-01,"12月",2.19,1.43,34,15.5,953255,436132,2616353,1827624,148224,2.51,1.51,36.5,14.6,841606,335735,2519844,1665211,122651
2017-01-01,"29年1月",2.13,1.43,34,16,925910,435683,2633339,1835519,147935,2.12,1.51,25,11.8,1007298,474938,2591732,1716027,118895
2017-02-01,"2月",2.12,1.43,35.7,16.8,927333,437964,2614030,1826406,156205,2.18,1.53,32.2,14.8,1014039,465468,2724603,1779833,149816
2017-03-01,"3月",2.13,1.45,35.9,16.9,935667,439817,2637022,1823864,157950,2,1.49,40.1,20.1,980579,491188,2806583,1879857,196790
2017-04-01,"4月",2.13,1.48,33.8,15.9,937798,439658,2654429,1794430,148704,1.66,1.38,29.6,17.8,923450,555596,2676726,1939779,164258
2017-05-01,"5月",2.31,1.49,35.5,15.4,939392,406621,2651714,1778379,144521,2.01,1.36,34.6,17.2,912056,452813,2614855,1921183,156805
2017-06-01,"6月",2.25,1.51,34.5,15.3,961541,427741,2690187,1779214,147431,2.29,1.41,37.1,16.2,964041,420940,2632079,1869242,156012
