"ID","期間","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:取得","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:処分","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:ネット","1.対外証券投資【居住者による取得・処分】:中長期債:取得","1.対外証券投資【居住者による取得・処分】:中長期債:処分","1.対外証券投資【居住者による取得・処分】:中長期債:ネット","1.対外証券投資【居住者による取得・処分】:小計:ネット","1.対外証券投資【居住者による取得・処分】:短期債:取得","1.対外証券投資【居住者による取得・処分】:短期債:処分","1.対外証券投資【居住者による取得・処分】:短期債:ネット","1.対外証券投資【居住者による取得・処分】:合計:ネット","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:取得","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:処分","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:ネット","2.対内証券投資【非居住者による取得・処分】:中長期債:取得","2.対内証券投資【非居住者による取得・処分】:中長期債:処分","2.対内証券投資【非居住者による取得・処分】:中長期債:ネット","2.対内証券投資【非居住者による取得・処分】:小計:ネット","2.対内証券投資【非居住者による取得・処分】:短期債:取得","2.対内証券投資【非居住者による取得・処分】:短期債:処分","2.対内証券投資【非居住者による取得・処分】:短期債:ネット","2.対内証券投資【非居住者による取得・処分】:合計:ネット"
425,"2013．2．17～ 2．23",3857,4921,-1064,24286,30928,-6642,-7706,1770,1878,-108,-7814,59844,57959,1885,10781,11603,-822,1063,35840,30498,5342,6405
426,"2013．2．24～ 3．2",4539,8959,-4419,36825,45675,-8850,-13270,1140,1351,-211,-13480,64770,62074,2697,19304,12726,6579,9275,25663,29170,-3507,5769
427,"2013．3．3～ 3．9",3874,6569,-2695,48181,40806,7375,4680,2270,2753,-483,4197,78604,67385,11219,15731,24122,-8391,2827,42411,23549,18862,21689
428,"2013．3．10～ 3．16",4071,9442,-5371,33732,38307,-4575,-9946,2931,2804,127,-9818,83880,79165,4716,18014,22965,-4951,-236,44156,48576,-4420,-4656
429,"2013．3．17～ 3．23",3977,10431,-6454,26900,31805,-4904,-11358,1475,2101,-626,-11985,57170,59845,-2676,13052,22805,-9752,-12428,41828,53977,-12149,-24577
430,"2013．3．24～ 3．30",4143,4861,-718,36618,38043,-1424,-2142,834,2127,-1293,-3435,69815,67533,2281,20904,13584,7320,9601,27022,55000,-27978,-18377
431,"2013．3．31～ 4．6",4058,3993,65,44985,56381,-11396,-11331,2579,1827,752,-10579,98281,89596,8686,26398,21765,4633,13319,27030,2731,24298,37617
432,"2013．4．7～ 4．13",3745,5322,-1577,38299,41627,-3328,-4905,962,1548,-586,-5491,121090,105401,15688,24633,26394,-1761,13927,44277,46929,-2653,11275
433,"2013．4．14～ 4．20",4638,4916,-278,39873,48481,-8608,-8886,1653,2105,-452,-9338,91688,91982,-294,21156,23297,-2141,-2434,29570,31526,-1957,-4391
434,"2013．4．21～ 4．27",4749,4933,-184,35697,33654,2044,1859,2107,2161,-54,1805,89350,83271,6079,20173,14296,5877,11956,36886,28754,8131,20087
435,"2013．4．28～ 5．4",2825,2545,281,34318,31299,3020,3300,1808,2412,-604,2696,48902,49164,-262,13157,10484,2672,2410,21814,23053,-1238,1172
436,"2013．5．5～ 5．11",4774,4583,191,38436,36578,1858,2049,2040,2040,1,2050,83996,75202,8793,11013,15147,-4134,4659,41880,40729,1151,5810
437,"2013．5．12～ 5．18",4434,5803,-1369,30565,38620,-8055,-9424,709,1732,-1023,-10446,113357,106199,7158,23849,23673,176,7334,34329,29791,4538,11873
438,"2013．5．19～ 5．25",4367,5418,-1050,41036,52232,-11196,-12246,3185,3192,-6,-12253,128081,128766,-685,14164,18748,-4584,-5269,34338,49667,-15330,-20598
439,"2013．5．26～ 6．1",5458,6831,-1373,47568,59293,-11725,-13098,2155,1558,597,-12500,115197,117108,-1911,17992,19189,-1197,-3108,31988,20998,10989,7881
440,"2013．6．2～ 6．8",3852,6069,-2218,32378,36320,-3942,-6160,3558,3020,539,-5621,115719,114545,1174,19785,22585,-2800,-1626,41568,35275,6293,4667
441,"2013．6．9～ 6．15",2965,4265,-1300,34388,38440,-4051,-5351,3966,3691,276,-5076,94714,94745,-31,17547,14413,3133,3102,35083,48269,-13185,-10083
442,"2013．6．16～ 6．22",3529,3390,139,31438,43307,-11869,-11730,4412,3880,531,-11199,81465,79754,1711,11805,22319,-10514,-8803,42256,35582,6674,-2129
443,"2013．6．23～ 6．29",3795,4194,-398,37827,47477,-9650,-10049,3665,3765,-101,-10149,81216,76422,4794,17953,15335,2618,7412,15270,26273,-11003,-3591
444,"2013．6．30～ 7．6",2094,2236,-141,46537,36798,9739,9597,5013,4706,307,9904,69816,64963,4853,17875,17836,39,4892,30441,31760,-1319,3572
445,"2013．7．7～ 7．13",3340,4223,-883,56227,45135,11092,10209,3845,3642,203,10412,73632,69637,3996,13571,13563,8,4003,21373,36558,-15185,-11182
446,"2013．7．14～ 7．20",2557,3125,-567,36746,30683,6063,5496,3303,2903,400,5895,66654,63155,3499,18415,10513,7902,11402,34150,25009,9141,20543
447,"2013．7．21～ 7．27",3207,4756,-1549,31857,29511,2346,796,2611,2173,437,1234,71437,72055,-618,13784,18087,-4303,-4921,35215,42185,-6970,-11890
448,"2013．7．28～ 8．3",3472,3667,-195,39868,32964,6903,6708,2707,3381,-675,6034,80656,81078,-422,13780,12553,1226,805,25907,28267,-2360,-1556
449,"2013．8．4～ 8．10",8406,9418,-1012,44098,27847,16251,15239,2151,2565,-414,14825,69231,70716,-1485,15507,11468,4039,2554,33608,36360,-2752,-198
450,"2013．8．11～ 8．17",3903,3933,-30,33459,42495,-9036,-9066,1312,986,326,-8740,62953,62472,481,17729,17341,387,868,38097,26093,12004,12872
451,"2013．8．18～ 8．24",3055,2958,96,28824,31988,-3164,-3068,1927,1869,57,-3010,63019,63906,-888,9819,18439,-8620,-9508,25913,35064,-9151,-18659
452,"2013．8．25～ 8．31",3818,3162,656,31039,36348,-5309,-4653,2209,2853,-644,-5297,58017,59767,-1750,14720,12705,2015,265,31718,27255,4463,4727
453,"2013．9．1～ 9．7",3245,2864,381,34335,34962,-627,-246,2169,2179,-10,-256,62056,60202,1854,18033,20006,-1973,-119,39296,25382,13914,13795
454,"2013．9．8～ 9．14",2730,3232,-502,45601,36375,9226,8724,1385,1512,-127,8597,73662,72133,1529,27637,26511,1127,2655,28938,47812,-18875,-16219
455,"2013．9．15～ 9．21",3035,4718,-1683,39950,38205,1745,61,4079,3896,183,245,61588,59768,1821,17651,24908,-7257,-5436,54431,42017,12414,6978
456,"2013．9．22～ 9．28",3280,3770,-490,43948,37226,6722,6232,1834,2458,-624,5607,65136,61748,3388,18142,19611,-1469,1920,33540,37854,-4314,-2395
457,"2013．9．29～ 10．5",3517,3256,262,33776,56043,-22266,-22005,1383,1542,-159,-22164,75688,75963,-276,25229,22002,3228,2952,25641,24747,893,3846
458,"2013．10．6～ 10．12",3443,2274,1169,39744,35876,3869,5038,1249,1609,-361,4677,74903,73455,1449,13230,15068,-1839,-390,42748,49190,-6442,-6833
459,"2013．10．13～ 10．19",2379,2849,-470,35883,21758,14125,13655,1663,1263,400,14055,51428,48450,2978,12550,12639,-89,2889,29937,12425,17512,20400
460,"2013．10．20～ 10．26",3286,5809,-2523,48740,38430,10311,7788,1749,1664,86,7873,68499,68578,-79,15506,14280,1226,1147,30738,34651,-3913,-2766
461,"2013．10．27～ 11．2",3463,3820,-357,52138,49370,2768,2411,1689,1504,186,2597,78517,76038,2479,15357,12513,2844,5324,33731,27804,5927,11251
462,"2013．11．3～ 11．9",2247,3230,-984,36904,33326,3578,2595,1261,1035,225,2820,60370,57625,2745,11573,14796,-3222,-477,37464,23447,14017,13540
463,"2013．11．10～ 11．16",3334,4234,-899,45835,42320,3515,2615,955,988,-34,2582,88916,75965,12951,18490,18231,258,13210,34042,39342,-5300,7909
464,"2013．11．17～ 11．23",3675,4591,-916,41364,27263,14101,13185,953,1459,-506,12679,84238,77149,7089,16807,18848,-2041,5048,46167,36515,9652,14700
465,"2013．11．24～ 11．30",3010,3674,-664,32785,32130,655,-9,1178,1133,45,37,78953,75266,3687,12929,12353,576,4264,32521,37295,-4774,-510
466,"2013．12．1～ 12．7",2904,4178,-1274,51943,48043,3900,2626,1794,2006,-212,2414,83076,81935,1140,20055,20179,-124,1016,46459,41604,4855,5872
467,"2013．12．8～ 12．14",4079,6204,-2126,36581,35324,1256,-869,2684,2098,586,-283,87050,80905,6145,20377,15941,4436,10580,44401,38664,5737,16318
468,"2013．12．15～ 12．21",3874,5290,-1416,30169,37095,-6925,-8341,1308,1338,-30,-8371,90570,82187,8383,15849,23616,-7766,617,42859,37276,5584,6200
469,"2013．12．22～ 12．28",1163,1758,-595,11802,10680,1122,527,864,831,33,560,52778,47862,4916,7509,9921,-2412,2504,8811,30249,-21438,-18935
470,"2013．12．29～2014．1．4",574,668,-94,3528,7940,-4412,-4506,459,541,-82,-4588,15424,14742,682,3483,5737,-2254,-1572,188,0,188,-1384
