"Date","総数","アジア計","韓国","中国","台湾","香港","タイ","シンガポール","マレーシア","インドネシア","フィリピン","ベトナム","インド","イスラエル","トルコ","ヨーロッパ計","英国","フランス","ドイツ","イタリア","ロシア","スペイン","スウェーデン","オランダ","スイス","ベルギー","フィンランド","ポーランド","デンマーク","ノルウェー","オーストリア","ポルトガル","アイルランド","アフリカ計","北アメリカ計","米国","カナダ","メキシコ","南アメリカ計","ブラジル","オセアニア計","豪州","ニュージーランド","無国籍・その他","マカオ","モンゴル","その他アジア","その他ヨーロッパ","その他北アメリカ","その他南アメリカ","その他オセアニア"
2007-07-01,807737,606852,254234,101370,140911,52690,11681,9963,6216,5688,7344,2561,5932,881,733,78798,20672,12886,10230,4511,6003,3636,2217,3019,2287,1419,1256,806,1222,914,1154,1419,1266,1962,95351,76444,14978,3304,3207,1900,21488,17851,3237,79,,,,,,,
2007-08-01,757473,578853,271377,99355,118560,40761,9589,6976,5277,3723,6792,2592,5183,852,653,76660,18248,12290,9217,6111,5658,5541,1977,2338,1723,1083,1340,802,804,765,1009,2078,1152,2691,79176,62875,13496,2039,2925,1474,17098,14232,2581,70,,,,,,,
2007-09-01,689183,500086,201286,93068,118048,28630,13415,9251,6571,4367,7029,3211,6241,1271,714,76471,18751,11057,11627,4641,5415,3660,2535,2976,2182,1317,1361,937,1147,1040,1367,1050,1164,2075,80729,65293,12141,2585,3639,1819,26118,21882,3875,65,,,,,,,
2007-10-01,785207,558756,222737,91186,130576,32015,20552,12529,10945,12025,7616,3189,5890,1592,747,96949,22614,14910,15191,5580,6877,3902,3860,4123,2917,1994,1784,936,1660,1051,1450,1232,1313,2344,98740,79332,15509,3072,4720,2358,23638,20192,3019,60,,,,,,,
2007-11-01,686747,503173,218488,69597,108125,34103,13281,20391,10623,4747,6137,3074,5759,1292,715,78170,17682,11503,12555,4605,6369,2710,2802,2973,2186,1370,2050,887,1425,1028,1284,1021,1219,2111,81464,64115,14596,2103,2825,1434,18912,16088,2614,92,,,,,,,
2007-12-01,676428,491596,208893,53411,93018,48564,13808,30729,13399,8516,6141,2115,4936,836,710,65555,17533,9952,8566,5106,5175,1915,2243,2614,1642,920,1674,635,1046,754,876,792,1028,1621,83502,64603,16232,2330,3615,1635,30416,26820,3365,123,,,,,,,
2008-01-01,711350,544637,271583,84038,106560,34751,8019,6629,4822,3829,7350,2504,6453,753,692,59563,15198,9395,8294,3004,6262,1344,2111,2293,1341,985,1266,593,1122,731,916,423,1113,1695,70008,54169,13973,1381,2570,1373,32801,29457,3132,76,,,,,,,
2008-02-01,696326,543781,234876,85134,114090,55739,10738,11707,8377,3227,5170,2614,4859,703,708,60707,16338,9205,9421,3124,4457,1726,1958,2422,1521,1147,1694,652,1162,821,1013,532,895,1399,65482,49968,14046,1078,1987,960,22847,20517,2180,123,,,,,,,
2008-03-01,731619,508276,187474,90850,95993,49035,26797,14176,10506,4616,9041,3716,6047,1542,829,87963,22912,12340,13334,5136,5900,3890,3277,3013,2534,1763,2223,969,1473,1567,1264,713,1313,2064,104484,82222,18966,2775,3199,1857,25532,22346,2833,101,,,,,,,
2008-04-01,779909,580161,203812,103013,140833,36400,35476,13487,13074,5647,9419,2993,5783,1740,914,85049,18952,17419,11533,5285,5912,2621,3211,3371,2670,1338,1926,1007,1253,926,1207,598,1032,1974,86202,69186,14580,1845,3660,2226,22745,19130,3322,118,,,,,,,
