"Date","Austria","Belgium","Cyprus","Denmark","Finland","France","Germany","Ireland","Italy","Luxembourg","Netherlands","Norway","Portugal","Spain","Sweden","Switzerland","Turkey","United Kingdom","Russia","Kazakhstan","Total Europe","Memo: Euro Area","Memo: European Union","Canada","Argentina","Bolivia","Brazil","Chile","Colombia","Costa Rica","Ecuador","Guatemala","Honduras","Mexico","Panama","Paraguay","Peru","Uruguay","Venezuela","Total Latin America","Barbados","Dominican Republic","Haiti","Jamaica","Trinidad and Tobago","Bahamas","Bermuda","British Virgin Islands","Cayman Islands","Total Caribbean","Bahrain","China, Mainland","Hong Kong","India","Indonesia","Iraq","Israel","Japan","Korea, South","Kuwait","Malaysia","Oman","Philippines","Saudi Arabia","Singapore","Taiwan","Thailand","United Arab Emirates","Total Asia","Algeria","Liberia","Morocco","South Africa","Total Africa","Australia","New Zealand","Total Other","All Countries","International","Total Regional Orgs.","Total IROs","Of which Foreign Official","Grand Total","Greece","Monaco","Czech Republic","Hungary","Poland","Romania","Ukraine","El Salvador","Belize","Aruba","Netherlands Antilles","Pakistan","Kenya","Egypt"
2015-08-01,5966,110739,152,17775,8672,58347,80161,215924,31967,184779,38698,69442,2563,34459,40810,222653,72899,213185,89922,24934,1590407,779025,1089446,66840,652,919,255344,28279,37224,1513,275,1985,831,79924,508,12,11496,7005,256,427088,1134,1163,55,143,4049,7595,55876,35785,228355,336391,967,1270483,193197,115582,20093,25558,14947,1196997,72078,30793,5983,21337,41066,112781,116025,172482,34156,71246,3552628,680,154,1717,10411,29065,29447,2787,32415,6034834,26067,11144,66867,4178034,6101701,,,,,,,,,,,,,,
2015-09-01,5893,135804,149,18384,9030,51682,83411,222019,33923,190959,39822,69764,2537,34545,40245,227574,68901,203877,89117,25360,1620701,816047,1118261,69186,647,836,251620,27845,36805,1539,269,1962,835,78659,696,11,11286,7035,298,421208,1266,1178,59,146,3987,7841,56544,32139,224324,330383,902,1257992,198604,113522,18967,25126,17385,1177141,69366,30725,6506,21364,41857,112253,122850,178097,31946,70898,3532710,680,152,1871,10586,29916,31305,2313,33794,6037898,26291,12077,67987,4147458,6105885,,,,,,,,,,,,,,
2015-10-01,5393,138314,153,18390,9231,51644,81627,232429,34553,188220,44644,70107,2519,33836,40167,225607,61916,200648,82014,23824,1614833,828969,1129766,66781,649,731,254972,27730,35882,1435,275,1791,834,72466,644,10,11170,6837,293,416601,1102,1176,58,148,3566,8474,56381,29662,226001,328968,949,1254836,197007,116608,18610,22563,16226,1149191,69136,30244,6668,23407,41749,113025,111567,178076,34464,71488,3493531,680,144,1830,9745,29379,27584,3115,30872,5980965,26973,11480,66246,4099153,6047211,,,,,,,,,,,,,,
2015-11-01,4873,143574,156,18981,9021,58945,83905,246004,34112,192983,45157,69686,2957,35174,39636,227130,67142,204461,88038,24754,1666091,863036,1167920,68343,631,772,255019,27873,36688,1849,276,1805,822,68025,740,10,11585,8158,278,415311,1063,1204,61,147,3499,8606,57905,32035,236450,343703,956,1264456,196540,115395,18809,20845,18099,1144860,72583,31407,7350,22458,42765,114685,108254,177545,36311,68175,3499589,680,144,1901,9981,29244,30189,4821,35142,6057423,26673,11456,67989,4116567,6125412,,,,,,,,,,,,,,
2015-12-01,5196,121676,144,21087,8640,61630,74634,264442,34558,199566,49064,69116,3520,36206,39388,231711,64578,207070,92143,22605,1678246,865493,1175394,72442,709,933,254796,27276,36834,1898,276,1912,731,72238,834,11,12485,9968,314,422010,1088,1303,61,154,3642,8629,59809,32305,249766,361342,992,1246084,200066,116825,20576,19438,20839,1122410,74638,31365,8468,19968,42969,118861,110318,178737,39113,69492,3478564,680,181,2107,10249,29599,30570,5141,35842,6078045,25996,12749,68176,4093620,6146221,,,,,,,,,,,,,,
2016-01-01,4834,137549,147,22695,9244,58640,80446,252061,36257,200622,50679,68089,4206,37075,40778,237868,59846,209614,96896,23729,1708302,878294,1198627,70738,718,876,255739,28509,36198,1795,216,1940,740,69890,749,11,12387,6547,278,417299,1339,1307,64,146,3903,8313,58795,31425,251077,360185,977,1237972,201502,119848,20568,19359,18322,1123614,74223,30694,9658,19432,42596,123723,113936,183305,39724,66730,3484065,680,185,2104,8629,27428,32167,5489,37790,6105807,29061,11300,78474,4094036,6184281,,,,,,,,,,,,,,
2016-02-01,5026,142985,147,23374,9004,78660,80713,255157,36825,209124,50688,69841,4135,38249,41034,236554,53419,230559,87556,22968,1754524,917702,1260214,69418,725,491,247334,30697,35123,1799,247,1903,750,72168,971,10,11549,6240,280,411244,1268,1310,65,140,3914,9001,60816,34229,255648,370722,849,1252279,201526,118777,19316,17055,18737,1133160,78242,30441,10299,17689,41396,119888,111491,182716,43008,64833,3497955,680,187,2225,8179,26400,33256,5240,38566,6168829,28901,10860,74695,4081795,6243524,,,,,,,,,,,,,,
2016-03-01,5154,153775,150,23220,9166,69075,90284,263730,37545,221583,49255,72290,4524,38087,40872,230424,52942,226461,85984,22115,1775637,949107,1287631,81522,718,587,246403,31740,36769,1756,241,2036,754,71551,1018,10,11763,5841,282,412589,1225,1333,73,132,3773,8752,62887,34802,265411,383325,1206,1244627,199694,118883,18684,13411,26033,1137050,84128,31219,12435,15883,41301,116804,112657,182299,43071,62520,3496239,680,418,2283,8834,26283,34086,5305,39458,6215053,27772,11305,71453,4071242,6286506,,,,,,,,,,,,,,
2016-04-01,5121,153553,152,23770,9715,56657,96936,257400,39225,221682,48073,66163,4782,37027,41121,229974,54656,216398,82500,19884,1745230,937284,1266897,81881,739,577,249110,30748,36796,1738,224,1905,769,65930,1022,11,12812,5467,286,409341,1226,1337,71,171,3744,8968,62302,34265,259419,375683,1252,1242815,194493,121645,18791,15211,28699,1142786,83040,30907,13055,17451,41116,112963,109360,185193,45630,60073,3498567,680,419,2281,9412,26870,29063,5508,34672,6172244,26691,10447,66611,4046034,6238855,,,,,,,,,,,,,,
2016-05-01,5127,151702,187,23677,9554,59874,97312,259338,42279,222544,47579,61899,5014,37597,40547,229196,50733,217092,88191,21489,1751760,944357,1274426,76586,682,625,249471,31025,37171,1736,250,2576,774,59759,1050,11,12715,6119,292,405296,1270,1256,75,129,3308,9439,65241,35182,260733,380682,1031,1244007,191872,118042,17804,14653,29378,1133247,80468,30920,13295,15752,40926,103736,109289,181459,47745,61846,3470260,680,446,2286,8764,25310,31046,5299,36452,6146346,27917,10246,64078,4024323,6210424,,,,,,,,,,,,,,
2016-06-01,5860,156345,143,23254,10031,53643,99430,269767,38938,225151,51011,58693,5310,39575,40235,237866,58603,231399,90942,21495,1798968,961485,1305597,85284,652,368,251554,33414,31420,2007,239,2554,802,51403,913,9,12468,6134,294,395430,1415,1312,82,172,3128,9991,69059,32080,269971,391715,710,1240823,184736,117233,18666,15319,30637,1147121,82125,30565,13518,15517,42396,98241,107715,187900,47988,66236,3482426,680,437,2403,9127,24976,31434,4660,36192,6214991,28249,11868,66115,4036790,6281106,,,,,,,,,,,,,,
2016-07-01,5162,154367,134,22801,10250,63783,96995,269174,41321,224211,49668,52851,5274,39125,40022,241253,59702,210028,88219,22887,1777615,965563,1287331,81325,872,808,254094,33783,30739,2332,244,2450,776,48329,1052,9,12656,7307,303,397031,1568,1313,81,161,2941,9342,66316,33451,264570,383736,864,1218842,189613,123683,22151,15215,30032,1154604,85933,31687,13882,18044,41715,96485,103524,192128,48841,66046,3488415,680,406,2426,6875,22677,30925,3908,34900,6185699,27805,10940,64540,4010408,6250239,,,,,,,,,,,,,,
2016-08-01,5074,157002,130,23173,9991,70498,103911,266402,40623,220684,50657,53732,5396,39038,39972,238320,56547,204891,87470,23016,1776392,975373,1292532,81936,909,836,256124,31808,29175,2297,268,2406,786,46128,1130,10,12973,6432,311,392913,2359,1236,88,192,2954,10851,66778,30947,264439,384073,901,1185104,191525,122855,22546,15305,27388,1143986,90165,31280,13557,17818,40113,92979,105858,190029,50675,64102,3441466,680,304,2423,7736,23296,32109,6169,38375,6138451,24524,10750,60916,3948689,6199367,,,,,,,,,,,,,,
2016-09-01,5233,142742,129,17392,10571,71751,103094,270924,42033,228299,52231,56789,5941,39477,38280,240960,61535,217615,76458,24574,1784626,978172,1300135,84981,862,815,258113,30809,28074,2108,226,2488,761,47665,1060,13,12367,6233,310,393031,1980,1239,240,197,2963,9763,64325,36656,262558,382053,936,1156993,189798,122718,21615,15207,28690,1136395,88499,30597,13963,16649,38959,89437,101371,189329,49852,63821,3391662,680,275,2472,8264,23689,34582,5317,39993,6100035,23967,10461,58081,3901632,6158116,,,,,,,,,,,,,,
2016-10-01,5196,116892,131,19409,11280,63613,93779,273860,40841,217763,53154,51631,5978,38405,38696,235643,58330,207301,74584,20990,1704837,924820,1239328,81385,889,802,254727,31003,27543,2193,281,2465,731,45915,1109,10,12464,6456,161,387990,1687,1100,153,230,2903,9231,65870,39041,262171,384863,998,1115671,186304,122974,24075,15355,29352,1131926,86725,29898,14164,16367,38643,96722,99220,188584,59249,64380,3358340,680,233,2463,8080,23041,34527,5315,39948,5980404,23907,9986,65401,3841403,6045805,,,,,,,,,,,,,,
2016-11-01,5223,113501,133,18722,10908,70578,86981,275184,37804,222437,54244,47748,5795,38362,39158,230349,55785,215820,86611,22225,1715382,924868,1249136,81182,938,737,258324,29667,28009,2135,290,2198,746,47066,1062,12,12249,6894,166,391567,1730,1089,104,128,2999,9463,66830,37888,260822,383462,918,1049349,185543,118701,22508,13852,29497,1108612,85047,29399,13316,15084,37802,100075,96929,183052,71137,63022,3261619,680,150,2410,8963,24260,36392,5136,41611,5899083,21569,9632,56169,3770473,5955252,,,,,,,,,,,,,,
2016-12-01,5584,120448,134,19092,11189,61365,82305,288189,39879,224326,57429,52451,5791,38268,38706,229990,59119,217189,86071,24029,1741905,938468,1264072,83007,935,698,259246,29215,28215,2248,253,2282,745,47088,1160,13,12209,8788,162,394518,1485,1130,96,146,3068,9380,64052,40644,263695,386766,771,1058423,191351,118163,24634,13951,31576,1090764,93168,28712,13240,14280,38482,102755,102214,189346,66048,60612,3276243,680,166,2438,9349,25833,34572,5370,40061,5948333,22866,9809,57948,3814131,6006281,,,,,,,,,,,,,,
2017-01-01,5084,112203,121,19435,10614,60755,71586,293665,38201,218917,54203,43140,5430,37658,38159,224009,58401,214076,86160,22331,1694650,911799,1235473,79905,948,714,257726,28206,27324,2106,254,2320,681,48114,1304,15,11903,6626,150,389467,1592,1075,109,134,3025,9778,61632,39746,256881,376436,662,1051103,189360,113657,24600,14702,30909,1102487,95561,29404,13307,13559,36468,112305,103283,183583,72876,61245,3286825,680,185,2491,8501,24485,36901,4893,41907,5893675,19871,9261,59330,3785546,5953005,,,,,,,,,,,,,,
2017-02-01,4767,105653,134,18024,10727,64352,73089,309089,37457,217392,52829,45800,4707,37750,39092,236349,58267,217097,86289,25196,1725171,921238,1249701,82043,982,609,257738,27699,27874,2064,246,2296,739,49512,1139,12,11719,6339,160,390308,1766,1066,108,121,2922,9939,61433,38923,259106,377509,651,1059657,200264,112347,23951,14399,30194,1115199,96916,29832,14059,13676,36897,116744,107380,183627,71401,61697,3326925,680,219,2517,10058,33128,34580,2822,37521,5972605,18255,9713,47913,3816120,6020518,,,,,,,,,,,,,,
2017-03-01,4969,109944,117,18116,10336,69941,77010,313862,35230,218313,51234,48865,4579,37968,40612,227763,59037,228268,99799,25105,1760714,936694,1280013,77649,1201,542,259516,27719,27865,2041,158,2402,736,38791,1423,12,12087,5789,210,381639,1686,1055,104,118,3024,9243,59734,39489,250359,366838,518,1088145,195093,117137,22687,15396,29628,1120493,97057,32447,13788,14019,36642,124543,103059,183823,69322,63026,3366097,680,198,2623,12023,34876,37552,4171,41852,6029665,19007,10043,49381,3879742,6079046,,,,,,,,,,,,,,
2017-04-01,4653,96415,115,18392,9473,66861,74704,299912,35039,212133,49140,51445,4570,38554,41137,234052,56431,231497,104896,24492,1736307,894672,1243685,80558,1205,520,267732,27619,28801,1596,224,2569,768,40150,1379,8,12848,5564,210,392555,1708,1060,136,100,3074,9907,59421,33998,256776,368507,552,1092197,196608,124099,24215,14798,29546,1106876,93820,31349,13940,14551,38088,126792,107041,185569,69724,60589,3370999,680,208,2675,13581,37127,35180,4554,39858,6025911,17002,10043,47818,3911585,6073729,,,,,,,,,,,,,,
2017-05-01,4344,98673,112,18659,10184,74371,68275,295782,35590,207725,52203,48308,4503,38151,40844,239545,49531,234418,108741,24642,1738326,893262,1247296,80202,1349,474,269745,27332,28094,1677,222,2923,784,38872,1505,10,13240,5898,204,393773,1798,1054,133,104,3129,9581,60889,32894,266084,377715,526,1102212,196338,127254,26723,15548,30853,1111300,100056,31551,14417,14710,38229,133961,107938,181238,66491,60547,3400285,681,208,2399,13151,36343,36988,4555,41659,6068303,16815,16058,55263,3935197,6123566,,,,,,,,,,,,,,
